carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1183.2
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,950.0
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4072.8
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1785.4
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4819.2
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,5424.8
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,508.2
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3010.2
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,9349.2
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,466.4
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2645.6
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5921.8
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4096.8
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1687.0
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1220.2
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3119.8
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1309.2
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1584.8
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,8615.6
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,740.0
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1779.8
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6408.6
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,926.6
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,650.0
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,557.8
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6327.0
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,553.8
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,851.0
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4733.6
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,557.6
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1690.0
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1359.8
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1397.2
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,899.8
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1022.4
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,786.2
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4323.2
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2521.8
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2310.4
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,657.6
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2299.6
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3152.6
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4414.8
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2120.6
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,11220.0
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,11103.2
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1050.6
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5936.0
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,15785.6
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,9418.2
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1038.2
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2825.8
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,6262.8
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5376.4
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5150.8
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2720.6
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4986.4
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,11729.6
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1034.0
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,720.2
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,454.6
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,751.8
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2706.8
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,722.0
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4530.2
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1785.0
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,3008.4
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1607.4
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,532.0
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1031.2
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,8209.8
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,771.0
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,973.4
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8501.4
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4234.8
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,889.6
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1286.4
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,7513.4
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4231.4
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3544.2
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,2714.6
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,540.8
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4751.0
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3555.4
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1060.8
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1189.0
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1602.2
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4039.0
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4624.8
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5299.8
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3068.4
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,4147.6
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,589.0
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,9679.4
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,765.6
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,4861.0
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,8999.0
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,535.0
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,806.8
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2436.0
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4229.6
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3401.6
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3100.8
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4732.2
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2947.6
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,980.4
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,789.0
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,9721.0
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6128.6
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1555.4
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,601.0
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,13824.8
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12117.2
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,760.6
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1226.0
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,5320.0
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,899.0
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1699.8
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3806.2
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,878.6
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,784.4
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5249.4
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8972.4
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1994.6
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,923.2
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1806.6
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3945.2
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1365.0
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4763.0
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5279.2
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,5911.6
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,15807.0
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,13860.2
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13965.2
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,651.0
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2390.2
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3017.8
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,6177.8
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1176.0
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1955.6
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5418.8
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1536.8
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,7679.8
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1714.4
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,10696.0
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6849.2
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,13784.6
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3087.8
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,988.4
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,16101.8
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,822.8
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1335.4
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5062.2
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4711.2
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,7584.8
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,2177.4
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1279.0
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4575.0
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3723.4
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2730.4
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1193.2
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2456.8
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3908.4
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5217.6
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2740.8
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6460.2
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2896.6
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6858.2
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2990.2
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3208.4
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,15232.6
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,880.0
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,2963.4
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3084.6
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,16876.8
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2681.2
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3076.6
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,817.8
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,744.6
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,694.0
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,6382.0
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,11358.8
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5023.6
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1139.0
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2575.8
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6784.8
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,3324.0
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,859.4
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,747.6
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2234.0
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,7133.2
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,7786.2
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,6040.4
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,455.0
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,560.6
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,869.2
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2462.8
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1207.8
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,844.0
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4833.8
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1312.6
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,6676.6
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1384.2
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3162.4
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1308.6
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4328.8
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,655.4
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4680.6
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,6881.8
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4164.2
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6582.4
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3494.4
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1812.0
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3056.0
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,722.8
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3114.4
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6155.4
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,8170.4
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8651.6
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2537.6
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1199.4
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1288.8
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1315.8
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,814.6
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1299.2
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2570.4
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9918.2
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7197.0
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5749.4
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1173.0
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1111.6
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1071.6
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,877.0
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6607.4
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1035.2
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1036.4
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1270.0
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,668.6
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,8563.0
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,6919.0
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,6529.2
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,9978.6
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,781.8
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,16922.8
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5064.4
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,865.4
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,15863.8
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2281.8
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,2503.0
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10753.8
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,1009.2
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,11948.0
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,670.8
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5853.2
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,739.8
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,2782.2
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,7457.6
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,6627.4
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,15467.0
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2692.4
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5937.2
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,467.0
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,4243.6
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,14635.6
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,720.6
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,9459.6
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1331.0
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,8126.4
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,9277.4
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,886.8
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,1726.6
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,1049.6
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,9176.6
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,7359.2
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,650.4
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,3029.6
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,2026.2
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,1739.0
2.17,Premium,H,SI1,59.9,61.0,8.39,8.38,5.02,15770.8
1.37,Ideal,H,VS1,63.8,56.0,7.01,6.98,4.46,7949.6
0.3,Very Good,F,VVS1,61.0,57.0,4.33,4.36,2.65,799.2
1.06,Premium,D,SI2,61.6,61.0,6.59,6.53,4.04,4570.0
0.32,Ideal,E,VVS1,60.9,57.0,4.42,4.45,2.7,919.0
0.32,Premium,G,VS2,61.0,59.0,4.42,4.46,2.71,571.8
0.2,Premium,D,VS2,61.7,60.0,3.77,3.72,2.31,385.8
0.7,Ideal,H,VS2,61.1,57.0,5.71,5.74,3.5,3018.8
0.53,Ideal,E,VS1,61.5,57.0,5.22,5.25,3.22,2003.2
0.71,Ideal,I,VVS1,62.4,55.0,5.69,5.76,3.57,2609.2
1.16,Ideal,G,VVS1,61.9,55.0,6.75,6.78,4.19,9728.2
1.01,Premium,E,SI1,59.2,60.0,6.56,6.51,3.87,5383.4
0.4,Ideal,G,VVS2,62.6,53.0,4.72,4.77,2.97,977.8
1.51,Good,F,SI2,62.9,55.0,7.22,7.28,4.56,8158.8
1.04,Very Good,I,SI2,61.6,58.0,6.47,6.58,4.02,4223.0
0.37,Ideal,I,SI1,60.7,60.0,4.6,4.62,2.8,592.6
0.37,Premium,F,VS2,60.5,59.0,4.62,4.67,2.81,742.0
0.64,Good,H,VS1,61.8,60.3,5.47,5.53,3.4,1919.6
2.01,Very Good,I,SI1,60.8,60.0,8.12,8.15,4.95,16015.2
1.29,Ideal,G,VS2,62.5,57.0,6.89,6.92,4.35,8538.6
1.01,Very Good,G,VVS2,63.4,55.0,6.41,6.34,4.04,7335.0
2.01,Premium,H,SI1,62.7,59.0,8.08,8.03,5.05,15997.2
0.51,Very Good,J,SI1,63.3,56.0,5.12,5.02,3.21,960.4
0.53,Very Good,E,VS2,63.5,59.0,5.17,5.13,3.27,1708.4
1.01,Very Good,G,VS2,63.0,56.0,6.35,6.41,4.02,5859.0
0.31,Premium,E,VVS1,62.0,59.0,4.34,4.3,2.68,906.8
0.36,Ideal,G,VVS1,60.0,56.0,4.66,4.69,2.81,1008.8
0.31,Premium,H,VS1,61.4,61.0,4.36,4.33,2.67,702.4
0.77,Premium,G,VVS2,60.8,59.0,5.96,5.92,3.61,3007.6
