carat,cut,color,clarity,depth,table,x,y,z,price_predicted
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9362.669875765789
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,710.8847559080828
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,1890.6732743317411
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4479.188799283262
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1855.2706790146299
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5321.14393709298
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7325.034542019226
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,-558.5051332185199
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3646.668905490819
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,9978.0588422253
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-857.5983608509723
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,3208.6343952654884
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6309.798740608883
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4998.452954391567
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2385.5811828749497
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,2732.890938053067
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4755.674783702714
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,758.6703713251004
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1609.1809966887317
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,9365.25164519782
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,1529.7956023179308
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2513.096114026082
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6803.622629480264
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1717.0292077555473
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,-592.0975562959197
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,-502.94072948980465
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6410.51262948285
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,-42.96938286166505
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,643.3896834148186
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4845.249031477222
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,-219.10791887948744
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1780.2598848658758
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1231.698628888876
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1514.1391021319364
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,2096.5906739091793
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1952.8453144218688
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,144.37791275186873
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4608.37112167142
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2745.7833749031365
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2418.6349059984254
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,-933.3380411764338
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2195.5196531864844
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3731.4831115153816
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4631.613718580213
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2343.110355045664
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9689.736551298596
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9690.090633490261
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1453.666277714426
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5522.576391683018
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17637.087538103722
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7084.608519188694
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1450.0039466597905
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2734.1129405656243
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5920.561198920517
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5766.688611438332
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5733.730908866759
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3320.6357996103056
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5243.3269117762575
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9981.782048272056
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1600.3751515658573
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,-562.7839757216325
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,-891.9463266228836
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,-39.65666841558641
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3429.99673100697
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,1001.2280070820802
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5545.232230034539
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,2010.696234436335
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,4826.670368725467
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1979.9067937711357
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,286.465061584202
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,574.2888828715281
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,7482.315079528222
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,104.35803240112045
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,677.4390957107212
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9774.332282539895
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5042.618657839625
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,568.9389497240213
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,2521.964757181087
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6508.696381492826
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,5416.774524826389
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3681.0436533098004
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3527.3109133582534
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,48.735587220719026
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5343.0570202642975
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4161.6328575919815
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1623.6887016586375
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,476.06228984491236
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,2050.480604881043
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4781.823198993394
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5056.342144503582
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5268.451491448328
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3896.8137132848165
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,4148.574755426649
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,-4.476229147965114
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,8442.200626611857
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,1300.3186467119344
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5483.873552839152
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,6998.878097004572
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,1259.402294646849
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,1267.6278940535672
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,3001.446713320686
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4215.533853272291
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4671.954581509586
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3967.8282807567407
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5132.976003747537
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3340.2596584847
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,525.7964185188671
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,603.0121555216524
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11634.856798858253
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6227.880245899871
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1939.574835099062
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,-32.226762279593004
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,10755.816759652322
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12897.300691729399
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,-31.048478316537512
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1120.2496935698623
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6612.55364591272
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,588.7547254842179
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1904.4258358386091
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4154.043276843642
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1112.2785891408917
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,1538.3530244911885
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,6246.646689439911
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9295.174584643608
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2262.6335448460272
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,1356.417726935711
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2427.5084299518726
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4589.426017136064
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1314.34945511677
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4715.967010547758
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5379.790083313257
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6684.996111527003
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,14147.593170956394
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,10335.001479149389
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13190.756638472662
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,494.47217845187834
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2921.43385467483
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4536.694418456636
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,15779.058055982348
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,964.2229484545683
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,3086.617392953102
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5966.956454482404
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1490.4250688844663
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9938.052219076304
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,671.8515867927704
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9683.271239143027
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6466.21295721495
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,10305.083442830613
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3862.070781623444
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,277.03794712113586
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,13903.612533839349
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,162.8270530139589
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,2463.0578137466687
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4920.578760946597
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,5722.158746295476
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6563.245742532847
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1791.960267369736
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1184.346911523306
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4895.140014113693
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4401.5164895885755
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3137.4472388263807
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,700.4720074893471
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2776.640936523158
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3917.150061266811
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5642.497276502707
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2830.546813001912
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6252.121265589913
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3098.533100104804
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6266.221729026176
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,3962.8348039219586
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,5090.1273418063665
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14486.954921829396
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,1811.91184291533
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3527.4616850245634
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4216.110848921409
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,12488.065162607361
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3064.401536260503
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3884.993127763925
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,523.8434825715972
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,50.53612077027492
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,311.8175610414319
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7308.505240713903
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,11340.240679243207
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5358.542646162265
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1104.5244516705066
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2944.8298515227702
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6161.330436845879
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2374.516045637644
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,1654.7688614523972
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,1270.724843038825
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2158.9334509836285
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,7214.804568817855
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,8546.710406690856
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5889.62943404947
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,140.8804563255394
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,526.226211786237
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1444.582185693585
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2833.0780613572592
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,2183.889783053631
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,390.0216413223284
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5565.273825161043
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1332.9700091002073
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,10792.433572085969
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1064.231205220231
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,4128.217046940621
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,726.3534453036186
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4855.11168630248
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,153.7982931223637
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4762.419546876548
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7461.620970053884
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4204.607348049547
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6066.515606045936
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3784.5416521629136
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2422.8150186272
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3316.28798012406
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,210.80590076446788
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3175.3956122555032
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6430.4179840109755
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9489.863895395445
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8160.102595071801
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2787.2989577560834
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,917.4635325091472
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,2132.8910390931865
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,2592.0550762483213
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,276.4701736355719
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1223.8579158684865
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2746.933026147532
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9102.29747609436
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7789.442871686215
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5765.952714568699
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1943.8806507149652
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,2173.9847367058996
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,2099.419896312586
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,556.6103871186492
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6593.012550388465
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1767.472773367746
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1261.844460774812
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1347.3603170303236
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,440.9486989772008
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11770.698523075047
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7127.420844340395
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,6147.882805663705
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10107.108074150503
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,334.51862445586494
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,18107.066879687936
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5380.944103485965
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,887.0384721676678
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,14859.589816300993
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2310.7607715353865
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,2713.5140493768936
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10013.858583589057
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,1941.8563450571087
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,10273.227775024332
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,1054.0744871671181
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5891.699308928421
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,768.360551133102
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,3925.1025158254592
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,9187.419780528444
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5929.627497099344
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,17457.915390566097
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,3154.821705798197
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5131.924736908031
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,-468.599038391088
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,5764.442468291521
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,15503.647713520137
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,1612.0923463541571
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,9162.617040774576
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1356.800538500836
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,11076.266382696282
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,12562.454053950332
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,724.0778107872952
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,2044.5931457141774
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,1932.4359646866137
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,8045.816306483901
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,8517.347232125341
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,501.4460500180271
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,3837.047836423297
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,-1213.6302795010197
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,2086.1275983776354
